hashtag,tweet,hashtags,Processed_Tweet,Dominant_Topic
dhoni,"Dhoni Showed Gratitude For The Immense Love From Fans 

 #Dhoni #MSDhoni #ChennaiSuperKings #MumbaiIndians #IPL2025 #IPL #JioHotstar 
#IndianPremierLeague

lokmarg.com/dhoni-showed-gra…",,"['dhoni', 'showed', 'gratitude', 'for', 'the', 'immense', 'love', 'from', 'fans', '#', 'dhoni', '#', 'msdhoni', '#', 'chennaisuperkings', '#', 'mumbaiindians', '#', 'ipl2025', '#', 'ipl', '#', 'jiohotstar', '#', 'indianpremierleague', 'lokmarg.com/dhoni-showed-gra…']",2
dhoni,"Having lower physical tickets for csk vs rcb!

#csk #cskvsrcb #cskvrcb #chennai 
#ipl #ipl2025 #ipltickets #rcb
#csktickets #cskticket #chepauk
#chennaiipl #chennaisuperkings #dhoni",,"['having', 'lower', 'physical', 'tickets', 'for', 'csk', 'vs', 'rcb', '!', '#', 'csk', '#', 'cskvsrcb', '#', 'cskvrcb', '#', 'chennai', '#', 'ipl', '#', 'ipl2025', '#', 'ipltickets', '#', 'rcb', '#', 'csktickets', '#', 'cskticket', '#', 'chepauk', '#', 'chennaiipl', '#', 'chennaisuperkings', '#', 'dhoni']",2
dhoni,"Having upper tickets j upper for csk vs rcb!

#csk #cskvsrcb #cskvrcb #chennai 
#ipl #ipl2025 #ipltickets #rcb
#csktickets #cskticket #chepauk
#chennaiipl #chennaisuperkings #dhoni",,"['having', 'upper', 'tickets', 'j', 'upper', 'for', 'csk', 'vs', 'rcb', '!', '#', 'csk', '#', 'cskvsrcb', '#', 'cskvrcb', '#', 'chennai', '#', 'ipl', '#', 'ipl2025', '#', 'ipltickets', '#', 'rcb', '#', 'csktickets', '#', 'cskticket', '#', 'chepauk', '#', 'chennaiipl', '#', 'chennaisuperkings', '#', 'dhoni']",2
revanth reddy,"రేవంత్ రెడ్డికి సొంత పార్టీ నుంచే ముప్పు పొంచి ఉందా?

పార్టీలో రేవంత్ రెడ్డి శైలి, వేగవంతమైన నిర్ణయాలు కొంతమంది నాయకులకు ఇబ్బంది కలిగిస్తున్నాయి. 

#Congress #Reddy #revanth #RevanthReddy

@INCIndia @singerrevanth @revanth_anumula 

indiaherald.com/Editorial/Re…","#Congress,#Reddy,#revanth,#RevanthReddy","['రేవంత్', 'రెడ్డికి', 'సొంత', 'పార్టీ', 'నుంచే', 'ముప్పు', 'పొంచి', 'ఉందా', '?', 'పార్టీలో', 'రేవంత్', 'రెడ్డి', 'శైలి', ',', 'వేగవంతమైన', 'నిర్ణయాలు', 'కొంతమంది', 'నాయకులకు', 'ఇబ్బంది', 'కలిగిస్తున్నాయి', '.', '#', 'congress', '#', 'reddy', '#', 'revanth', '#', 'revanthreddy', '@', 'incindia', '@', 'singerrevanth', '@', 'revanth_anumula', 'indiaherald.com/editorial/re…']",0
revanth reddy,"𝐉𝐚𝐢 𝐑𝐞𝐯𝐚𝐧𝐭𝐡 𝐀𝐧𝐧𝐚 ✊
.
.
.
#revanth #revanthreddy #revanthannafan9 #Telangana #Congress #explore #ViralVideos #BRS","#revanth,#revanthreddy,#revanthannafan9,#Telangana,#Congress,#explore,#ViralVideos,#BRS","['𝐉𝐚𝐢', '𝐑𝐞𝐯𝐚𝐧𝐭𝐡', '𝐀𝐧𝐧𝐚', '✊', '.', '.', '.', '#', 'revanth', '#', 'revanthreddy', '#', 'revanthannafan9', '#', 'telangana', '#', 'congress', '#', 'explore', '#', 'viralvideos', '#', 'brs']",2
revanth reddy,"I hope correct punishment will be given to responsibile engineers in Medigadda case. #inc, #revanth reddy, @revanth_anumula @KomatireddyKVR @UttamINC","#inc,#revanth","['i', 'hope', 'correct', 'punishment', 'will', 'be', 'given', 'to', 'responsibile', 'engineers', 'in', 'medigadda', 'case', '.', '#', 'inc', ',', '#', 'revanth', 'reddy', ',', '@', 'revanth_anumula', '@', 'komatireddykvr', '@', 'uttaminc']",2
revanth reddy,"North will make us secondary #citizens, #Revanth Reddy on #delimitation
telanganatoday.com/north-wil…","#citizens,#Revanth,#delimitation","['north', 'will', 'make', 'us', 'secondary', '#', 'citizens', ',', '#', 'revanth', 'reddy', 'on', '#', 'delimitation', 'telanganatoday.com/north-wil…']",1
revanth reddy,"TS New Government Jobs 2025 : రెవెన్యూ శాఖలోని కొత్తగా 10,954 ఉద్యోగాల భ‌ర్తీకి ఆమోదం... ఇంకా గురుకులాల్లో కూడా...!
education.sakshi.com/vrovra/…
#ts #government #job2025 #vro #vra  #TelanganaCongress #revanth #reddy #news #Telugu #government #governmentjobs #Jobs #latestjobs #tsnews","#ts,#government,#job2025,#vro,#vra,#TelanganaCongress,#revanth,#reddy,#news,#Telugu,#government,#governmentjobs,#Jobs,#latestjobs,#tsnews","['ts', 'new', 'government', 'jobs', '2025', ':', 'రెవెన్యూ', 'శాఖలోని', 'కొత్తగా', '10,954', 'ఉద్యోగాల', 'భ\u200cర్తీకి', 'ఆమోదం', '...', 'ఇంకా', 'గురుకులాల్లో', 'కూడా', '...', '!', 'education.sakshi.com/vrovra/…', '#', 'ts', '#', 'government', '#', 'job2025', '#', 'vro', '#', 'vra', '#', 'telanganacongress', '#', 'revanth', '#', 'reddy', '#', 'news', '#', 'telugu', '#', 'government', '#', 'governmentjobs', '#', 'jobs', '#', 'latestjobs', '#', 'tsnews']",2
revanth reddy,"Do not increase Lok Sabha seat numbers,"" in the delimitation exercise, #CM #Revanth Reddy tells Centre","#CM,#Revanth","['do', 'not', 'increase', 'lok', 'sabha', 'seat', 'numbers', ',', ""''"", 'in', 'the', 'delimitation', 'exercise', ',', '#', 'cm', '#', 'revanth', 'reddy', 'tells', 'centre']",1
revanth reddy,"#BRS MLAs meet #Revanth Reddy on development works
telanganatoday.com/harish-ra…","#BRS,#Revanth","['#', 'brs', 'mlas', 'meet', '#', 'revanth', 'reddy', 'on', 'development', 'works', 'telanganatoday.com/harish-ra…']",2
revanth reddy,"రేవంత్ రెడ్డిపై సంచలన వ్యాఖ్యలు చేసిన గుమ్మడి నర్సయ్య..?

ఇటీవల సీఎం రేవంత్ రెడ్డిని కలిసేందుకు ఆయన నివాసం వద్దకు గుమ్మడి నర్సయ్య వచ్చారు. అయితే అపాయిట్ 

#revanth #gummadi #KCR #Reddy

@singerrevanth @Adinarayana_JMD @INCIndia 

indiaherald.com/Editorial/Re…","#revanth,#gummadi,#KCR,#Reddy","['రేవంత్', 'రెడ్డిపై', 'సంచలన', 'వ్యాఖ్యలు', 'చేసిన', 'గుమ్మడి', 'నర్సయ్య', '..', '?', 'ఇటీవల', 'సీఎం', 'రేవంత్', 'రెడ్డిని', 'కలిసేందుకు', 'ఆయన', 'నివాసం', 'వద్దకు', 'గుమ్మడి', 'నర్సయ్య', 'వచ్చారు', '.', 'అయితే', 'అపాయిట్', '#', 'revanth', '#', 'gummadi', '#', 'kcr', '#', 'reddy', '@', 'singerrevanth', '@', 'adinarayana_jmd', '@', 'incindia', 'indiaherald.com/editorial/re…']",0
revanth reddy,"రేవంత్ ప్రభుత్వానికి అభినందనలు తెలిపిన రాహుల్, ప్రియాంక గాంధీలు
# ARR social media #Telangana Congress #Revanth Reddy 
@revanth_anumula
@TG PRAJA PALANA","#Telangana,#Revanth","['రేవంత్', 'ప్రభుత్వానికి', 'అభినందనలు', 'తెలిపిన', 'రాహుల్', ',', 'ప్రియాంక', 'గాంధీలు', '#', 'arr', 'social', 'media', '#', 'telangana', 'congress', '#', 'revanth', 'reddy', '@', 'revanth_anumula', '@', 'tg', 'praja', 'palana']",1
revanth reddy,"కేసీఆర్ గొర్లు, బర్లు కాసుకొమ్మంటే.. 
చదువుకుని ఉద్యోగాలు చెయ్యమని రేవంతన్న అంటున్నడు..
# ARR social media
#Revanth Reddy #Congress #jonnotification #Telangana","#Revanth,#Congress,#jonnotification,#Telangana","['కేసీఆర్', 'గొర్లు', ',', 'బర్లు', 'కాసుకొమ్మంటే', '..', 'చదువుకుని', 'ఉద్యోగాలు', 'చెయ్యమని', 'రేవంతన్న', 'అంటున్నడు', '..', '#', 'arr', 'social', 'media', '#', 'revanth', 'reddy', '#', 'congress', '#', 'jonnotification', '#', 'telangana']",2
revanth reddy,"#Telangana #HC quashes case against #Revanth Reddy
telanganatoday.com/telangana…","#Telangana,#HC,#Revanth","['#', 'telangana', '#', 'hc', 'quashes', 'case', 'against', '#', 'revanth', 'reddy', 'telanganatoday.com/telangana…']",1
revanth reddy,"Chief Minister #Revanth Reddy clinches a major deal with #McDonald’s #CEO Chris #Kempczinski, bringing 2,000 jobs & boosting local agriculture. #Hyderabad beats #Bangalore with its talent, infra & quality of life.","#Revanth,#McDonald,#CEO,#Kempczinski,#Hyderabad,#Bangalore","['chief', 'minister', '#', 'revanth', 'reddy', 'clinches', 'a', 'major', 'deal', 'with', '#', 'mcdonald', '’', 's', '#', 'ceo', 'chris', '#', 'kempczinski', ',', 'bringing', '2,000', 'jobs', '&', 'boosting', 'local', 'agriculture', '.', '#', 'hyderabad', 'beats', '#', 'bangalore', 'with', 'its', 'talent', ',', 'infra', '&', 'quality', 'of', 'life', '.']",2
revanth reddy,"Telangana CM #Revanth Reddy highlights the state's financial crunch, citing inability to pay dearness allowance. Fiscal discipline across states is crucial as deficits and debts rise due to populist schemes. #Telangana #FiscalHealth #StateFinance","#Revanth,#Telangana,#FiscalHealth,#StateFinance","['telangana', 'cm', '#', 'revanth', 'reddy', 'highlights', 'the', 'state', ""'s"", 'financial', 'crunch', ',', 'citing', 'inability', 'to', 'pay', 'dearness', 'allowance', '.', 'fiscal', 'discipline', 'across', 'states', 'is', 'crucial', 'as', 'deficits', 'and', 'debts', 'rise', 'due', 'to', 'populist', 'schemes', '.', '#', 'telangana', '#', 'fiscalhealth', '#', 'statefinance']",1
revanth reddy,"గుంట నక్కలను వేటాడే సింహం..🔥🔥
@revanth_anumula

#RevanthReddy #TelanganaCM #TelanganaCongress #Revanth #TelanganaCMO #Telangana @TGCMOUnofficial #Politics #TelanganaPolitics #Congress","#RevanthReddy,#TelanganaCM,#TelanganaCongress,#Revanth,#TelanganaCMO,#Telangana,#Politics,#TelanganaPolitics,#Congress","['గుంట', 'నక్కలను', 'వేటాడే', 'సింహం', '..', '🔥🔥', '@', 'revanth_anumula', '#', 'revanthreddy', '#', 'telanganacm', '#', 'telanganacongress', '#', 'revanth', '#', 'telanganacmo', '#', 'telangana', '@', 'tgcmounofficial', '#', 'politics', '#', 'telanganapolitics', '#', 'congress']",2
revanth reddy,"రేవంత్ రెడ్డికి సొంత పార్టీ నుంచే ముప్పు పొంచి ఉందా?

పార్టీలో రేవంత్ రెడ్డి శైలి, వేగవంతమైన నిర్ణయాలు కొంతమంది నాయకులకు ఇబ్బంది కలిగిస్తున్నాయి. 

#Congress #Reddy #revanth #RevanthReddy

@INCIndia @singerrevanth @revanth_anumula 

indiaherald.com/Editorial/Re…","#Congress,#Reddy,#revanth,#RevanthReddy","['రేవంత్', 'రెడ్డికి', 'సొంత', 'పార్టీ', 'నుంచే', 'ముప్పు', 'పొంచి', 'ఉందా', '?', 'పార్టీలో', 'రేవంత్', 'రెడ్డి', 'శైలి', ',', 'వేగవంతమైన', 'నిర్ణయాలు', 'కొంతమంది', 'నాయకులకు', 'ఇబ్బంది', 'కలిగిస్తున్నాయి', '.', '#', 'congress', '#', 'reddy', '#', 'revanth', '#', 'revanthreddy', '@', 'incindia', '@', 'singerrevanth', '@', 'revanth_anumula', 'indiaherald.com/editorial/re…']",0
revanth reddy,"𝐉𝐚𝐢 𝐑𝐞𝐯𝐚𝐧𝐭𝐡 𝐀𝐧𝐧𝐚 ✊
.
.
.
#revanth #revanthreddy #revanthannafan9 #Telangana #Congress #explore #ViralVideos #BRS","#revanth,#revanthreddy,#revanthannafan9,#Telangana,#Congress,#explore,#ViralVideos,#BRS","['𝐉𝐚𝐢', '𝐑𝐞𝐯𝐚𝐧𝐭𝐡', '𝐀𝐧𝐧𝐚', '✊', '.', '.', '.', '#', 'revanth', '#', 'revanthreddy', '#', 'revanthannafan9', '#', 'telangana', '#', 'congress', '#', 'explore', '#', 'viralvideos', '#', 'brs']",2
revanth reddy,"I hope correct punishment will be given to responsibile engineers in Medigadda case. #inc, #revanth reddy, @revanth_anumula @KomatireddyKVR @UttamINC","#inc,#revanth","['i', 'hope', 'correct', 'punishment', 'will', 'be', 'given', 'to', 'responsibile', 'engineers', 'in', 'medigadda', 'case', '.', '#', 'inc', ',', '#', 'revanth', 'reddy', ',', '@', 'revanth_anumula', '@', 'komatireddykvr', '@', 'uttaminc']",2
revanth reddy,"North will make us secondary #citizens, #Revanth Reddy on #delimitation
telanganatoday.com/north-wil…","#citizens,#Revanth,#delimitation","['north', 'will', 'make', 'us', 'secondary', '#', 'citizens', ',', '#', 'revanth', 'reddy', 'on', '#', 'delimitation', 'telanganatoday.com/north-wil…']",1
revanth reddy,"TS New Government Jobs 2025 : రెవెన్యూ శాఖలోని కొత్తగా 10,954 ఉద్యోగాల భ‌ర్తీకి ఆమోదం... ఇంకా గురుకులాల్లో కూడా...!
education.sakshi.com/vrovra/…
#ts #government #job2025 #vro #vra  #TelanganaCongress #revanth #reddy #news #Telugu #government #governmentjobs #Jobs #latestjobs #tsnews","#ts,#government,#job2025,#vro,#vra,#TelanganaCongress,#revanth,#reddy,#news,#Telugu,#government,#governmentjobs,#Jobs,#latestjobs,#tsnews","['ts', 'new', 'government', 'jobs', '2025', ':', 'రెవెన్యూ', 'శాఖలోని', 'కొత్తగా', '10,954', 'ఉద్యోగాల', 'భ\u200cర్తీకి', 'ఆమోదం', '...', 'ఇంకా', 'గురుకులాల్లో', 'కూడా', '...', '!', 'education.sakshi.com/vrovra/…', '#', 'ts', '#', 'government', '#', 'job2025', '#', 'vro', '#', 'vra', '#', 'telanganacongress', '#', 'revanth', '#', 'reddy', '#', 'news', '#', 'telugu', '#', 'government', '#', 'governmentjobs', '#', 'jobs', '#', 'latestjobs', '#', 'tsnews']",2
revanth reddy,"Do not increase Lok Sabha seat numbers,"" in the delimitation exercise, #CM #Revanth Reddy tells Centre","#CM,#Revanth","['do', 'not', 'increase', 'lok', 'sabha', 'seat', 'numbers', ',', ""''"", 'in', 'the', 'delimitation', 'exercise', ',', '#', 'cm', '#', 'revanth', 'reddy', 'tells', 'centre']",1
revanth reddy,"#BRS MLAs meet #Revanth Reddy on development works
telanganatoday.com/harish-ra…","#BRS,#Revanth","['#', 'brs', 'mlas', 'meet', '#', 'revanth', 'reddy', 'on', 'development', 'works', 'telanganatoday.com/harish-ra…']",2
revanth reddy,"రేవంత్ రెడ్డిపై సంచలన వ్యాఖ్యలు చేసిన గుమ్మడి నర్సయ్య..?

ఇటీవల సీఎం రేవంత్ రెడ్డిని కలిసేందుకు ఆయన నివాసం వద్దకు గుమ్మడి నర్సయ్య వచ్చారు. అయితే అపాయిట్ 

#revanth #gummadi #KCR #Reddy

@singerrevanth @Adinarayana_JMD @INCIndia 

indiaherald.com/Editorial/Re…","#revanth,#gummadi,#KCR,#Reddy","['రేవంత్', 'రెడ్డిపై', 'సంచలన', 'వ్యాఖ్యలు', 'చేసిన', 'గుమ్మడి', 'నర్సయ్య', '..', '?', 'ఇటీవల', 'సీఎం', 'రేవంత్', 'రెడ్డిని', 'కలిసేందుకు', 'ఆయన', 'నివాసం', 'వద్దకు', 'గుమ్మడి', 'నర్సయ్య', 'వచ్చారు', '.', 'అయితే', 'అపాయిట్', '#', 'revanth', '#', 'gummadi', '#', 'kcr', '#', 'reddy', '@', 'singerrevanth', '@', 'adinarayana_jmd', '@', 'incindia', 'indiaherald.com/editorial/re…']",0
revanth reddy,"రేవంత్ ప్రభుత్వానికి అభినందనలు తెలిపిన రాహుల్, ప్రియాంక గాంధీలు
# ARR social media #Telangana Congress #Revanth Reddy 
@revanth_anumula
@TG PRAJA PALANA","#Telangana,#Revanth","['రేవంత్', 'ప్రభుత్వానికి', 'అభినందనలు', 'తెలిపిన', 'రాహుల్', ',', 'ప్రియాంక', 'గాంధీలు', '#', 'arr', 'social', 'media', '#', 'telangana', 'congress', '#', 'revanth', 'reddy', '@', 'revanth_anumula', '@', 'tg', 'praja', 'palana']",1
